,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
1,0,0,0,0,0,2342.11046454291,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697
2,0,0,0,0,0,2342.11046454291,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697
3,0,0,0,0,0,2342.11046454291,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697
4,0,0,0,0,0,2342.11046454291,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697
5,0,0,0,0,0,2342.11046454291,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697
6,2342.11046454291,2342.11046454291,2342.11046454291,2342.11046454291,2342.11046454291,0,349.547795306472,349.547795306472,349.547795306472,349.547795306472,349.547795306472
7,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697,349.547795306472,0,0,0,0,0
8,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697,349.547795306472,0,0,0,0,0
9,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697,349.547795306472,0,0,0,0,0
10,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697,349.547795306472,0,0,0,0,0
11,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697,1992.60809470697,349.547795306472,0,0,0,0,0
